Event Time;State
2000.0;Busy 1 Job(s)
2000.0;Busy 2 Job(s)
2000.0;Busy 3 Job(s)
2186.03;Busy 2 Job(s)
2186.03;Busy 3 Job(s)
2305.6000000000004;Busy 2 Job(s)
2305.6000000000004;Busy 3 Job(s)
2334.1300000000006;Busy 2 Job(s)
2334.1300000000006;Busy 3 Job(s)
2423.3300000000004;Busy 2 Job(s)
2423.3300000000004;Busy 3 Job(s)
2548.6500000000005;Busy 2 Job(s)
2548.6500000000005;Busy 3 Job(s)
2629.5400000000004;Busy 2 Job(s)
2629.5400000000004;Busy 3 Job(s)
2739.8100000000004;Busy 2 Job(s)
2739.8100000000004;Busy 3 Job(s)
2832.0400000000004;Busy 2 Job(s)
2832.0400000000004;Busy 3 Job(s)
2846.65;Busy 2 Job(s)
2846.65;Busy 3 Job(s)
3056.9700000000003;Busy 2 Job(s)
3056.9700000000003;Busy 3 Job(s)
3073.7700000000004;Busy 2 Job(s)
3073.7700000000004;Busy 3 Job(s)
3186.81;Busy 2 Job(s)
3186.81;Busy 3 Job(s)
3255.27;Busy 2 Job(s)
3255.27;Busy 3 Job(s)
3303.0299999999997;Busy 2 Job(s)
3303.0299999999997;Busy 3 Job(s)
3474.3499999999995;Busy 2 Job(s)
3474.3499999999995;Busy 3 Job(s)
3582.669999999999;Busy 2 Job(s)
3582.669999999999;Busy 3 Job(s)
3599.5;Busy 2 Job(s)
3599.5;Busy 3 Job(s)
3753.989999999999;Busy 2 Job(s)
3753.989999999999;Busy 3 Job(s)
3831.089999999999;Busy 2 Job(s)
3831.089999999999;Busy 3 Job(s)
3835.77;Busy 2 Job(s)
3835.77;Busy 3 Job(s)
3991.009999999999;Busy 2 Job(s)
3991.009999999999;Busy 3 Job(s)
4136.149999999999;Busy 2 Job(s)
4136.149999999999;Busy 3 Job(s)
4161.309999999999;Busy 2 Job(s)
4175.84;Busy 3 Job(s)
4312.469999999998;Busy 2 Job(s)
4312.469999999998;Busy 3 Job(s)
4349.48;Busy 2 Job(s)
4349.48;Busy 3 Job(s)
4433.599999999998;Busy 2 Job(s)
4433.599999999998;Busy 3 Job(s)
4437.639999999999;Busy 2 Job(s)
4437.639999999999;Busy 3 Job(s)
4535.5099999999975;Busy 2 Job(s)
4535.5099999999975;Busy 3 Job(s)
4703.959999999997;Busy 2 Job(s)
4703.959999999997;Busy 3 Job(s)
4732.489999999997;Busy 2 Job(s)
4732.489999999997;Busy 3 Job(s)
4836.609999999996;Busy 2 Job(s)
4836.609999999996;Busy 3 Job(s)
4865.139999999996;Busy 2 Job(s)
4865.139999999996;Busy 3 Job(s)
5054.029999999999;Busy 2 Job(s)
5054.029999999999;Busy 3 Job(s)
5061.469999999995;Busy 2 Job(s)
5061.469999999995;Busy 3 Job(s)
5208.559999999999;Busy 2 Job(s)
5208.559999999999;Busy 3 Job(s)
5216.989999999994;Busy 2 Job(s)
5216.989999999994;Busy 3 Job(s)
5426.089999999998;Busy 2 Job(s)
5426.089999999998;Busy 3 Job(s)
5441.309999999994;Busy 2 Job(s)
5441.309999999994;Busy 3 Job(s)
5577.249999999998;Busy 2 Job(s)
5577.249999999998;Busy 3 Job(s)
5579.889999999993;Busy 2 Job(s)
5579.889999999993;Busy 3 Job(s)
5657.049999999998;Busy 2 Job(s)
5657.049999999998;Busy 3 Job(s)
5815.329999999993;Busy 2 Job(s)
5815.329999999993;Busy 3 Job(s)
5875.359999999992;Busy 2 Job(s)
5875.359999999992;Busy 3 Job(s)
6025.649999999998;Busy 2 Job(s)
6025.649999999998;Busy 3 Job(s)
6105.449999999998;Busy 2 Job(s)
6105.449999999998;Busy 3 Job(s)
6111.529999999992;Busy 2 Job(s)
6111.529999999992;Busy 3 Job(s)
6238.259999999991;Busy 2 Job(s)
6238.259999999991;Busy 3 Job(s)
6248.249999999998;Busy 2 Job(s)
6248.249999999998;Busy 3 Job(s)
6307.229999999998;Busy 2 Job(s)
6307.229999999998;Busy 3 Job(s)
6395.909999999991;Busy 2 Job(s)
6395.909999999991;Busy 3 Job(s)
6450.029999999998;Busy 2 Job(s)
6450.029999999998;Busy 3 Job(s)
6583.819999999991;Busy 2 Job(s)
6583.819999999991;Busy 3 Job(s)
6676.04999999999;Busy 2 Job(s)
6676.04999999999;Busy 3 Job(s)
6689.2599999999975;Busy 2 Job(s)
6689.2599999999975;Busy 3 Job(s)
6900.97999999999;Busy 2 Job(s)
6900.97999999999;Busy 3 Job(s)
7012.669999999989;Busy 2 Job(s)
7012.669999999989;Busy 3 Job(s)
7032.789999999997;Busy 2 Job(s)
7032.789999999997;Busy 3 Job(s)
7192.269999999989;Busy 2 Job(s)
7192.269999999989;Busy 3 Job(s)
7275.389999999997;Busy 2 Job(s)
7275.389999999997;Busy 3 Job(s)
7393.569999999988;Busy 2 Job(s)
7393.569999999988;Busy 3 Job(s)
7505.2599999999875;Busy 2 Job(s)
