what,kind,bundleId,bundleVersion,description,time
java.version,sysinfo,,,"1.6.0_15",1251228774695
java.vm.info,sysinfo,,,"mixed mode, sharing",1251228774695
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1251228774695
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1251228774695
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1251228774695
java.vm.specification.version,sysinfo,,,"1.0",1251228774695
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1251228774695
java.vm.version,sysinfo,,,"14.1-b02",1251228774695
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1251228775418
started,bundle,org.eclipse.jsch.core,1.1.100.I20090430-0408,"org.eclipse.jsch.core",1251228775526
started,bundle,org.eclipse.team.cvs.core,3.3.200.I20090430-0408,"org.eclipse.team.cvs.core",1251228775526
started,bundle,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.ui",1251228775550
started,bundle,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console",1251228775579
started,bundle,org.eclipse.team.cvs.ui,3.3.200.I20090521-1750,"org.eclipse.team.cvs.ui",1251228775785
started,bundle,de.fzi.stanja.sissyconnector,1.0.0.qualifier,"de.fzi.stanja.sissyconnector",1251228775967
closed,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1251228776385
started,bundle,org.eclipse.core.filesystem,1.2.0.v20090507,"org.eclipse.core.filesystem",1251228776984
stopped,bundle,org.eclipse.mylyn.ide.ant,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.ide.ant",1251228777280
stopped,bundle,org.eclipse.mylyn.pde.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.pde.ui",1251228777280
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.100.v20090526,"org.eclipse.pde.api.tools.ui",1251228777280
stopped,bundle,org.eclipse.pde.ds.ui,1.0.0.v20090527,"org.eclipse.pde.ds.ui",1251228777280
stopped,bundle,org.eclipse.pde.runtime,3.4.100.v20090527,"org.eclipse.pde.runtime",1251228777281
stopped,bundle,org.eclipse.pde.ua.ui,1.0.0.v20090511,"org.eclipse.pde.ua.ui",1251228777281
stopped,bundle,org.eclipse.pde.ui.templates,3.4.100.v20090527,"org.eclipse.pde.ui.templates",1251228777281
stopped,bundle,org.eclipse.pde.ui,3.5.0.v20090528,"org.eclipse.pde.ui",1251228777281
