what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.sse.core,1.1.400.v200905141750,"org.eclipse.wst.sse.core",1251217472438
started,bundle,org.eclipse.wst.xml.core,1.1.400.v200904300540,"org.eclipse.wst.xml.core",1251217472515
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1251217587276
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1251217608165
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1251217609080
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1251217610569
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1251217612441
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1251218357552
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1251218359314
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1251218368579
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1251218369434
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1251218370462
closed,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1251218370898
stopped,bundle,org.eclipse.mylyn.ide.ant,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.ide.ant",1251218372284
stopped,bundle,org.eclipse.mylyn.pde.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.pde.ui",1251218372284
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.100.v20090526,"org.eclipse.pde.api.tools.ui",1251218372284
stopped,bundle,org.eclipse.pde.ds.ui,1.0.0.v20090527,"org.eclipse.pde.ds.ui",1251218372284
stopped,bundle,org.eclipse.pde.runtime,3.4.100.v20090527,"org.eclipse.pde.runtime",1251218372285
stopped,bundle,org.eclipse.pde.ua.ui,1.0.0.v20090511,"org.eclipse.pde.ua.ui",1251218372285
stopped,bundle,org.eclipse.pde.ui.templates,3.4.100.v20090527,"org.eclipse.pde.ui.templates",1251218372285
stopped,bundle,org.eclipse.pde.ui,3.5.0.v20090528,"org.eclipse.pde.ui",1251218372285
stopped,bundle,org.eclipse.ant.ui,3.4.0.v20090520,"org.eclipse.ant.ui",1251218372285
stopped,bundle,org.eclipse.compare.win32,1.0.0.I20090430-0408,"org.eclipse.compare.win32",1251218372285
stopped,bundle,org.eclipse.mylyn.java.tasks,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.java.tasks",1251218372286
stopped,bundle,org.eclipse.mylyn.java.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.java.ui",1251218372286
